"","X1","X2","X3","X4","X5","X6","X7","X8","X9","type","design"
"1",74.6206445946303,-1.02125179853899,-0.364995777916024,-1.99022936680285,-0.551029536180275,2.19423780188097,0.229594246842617,-0.650603882965737,0.647387801161278,"coef","int"
"2",74.6146139063855,-0.962231670963656,0.179621843503422,-1.81273537406601,-0.422540728019265,2.22777556127299,0.273081189117087,-0.461158029969172,0.627744622468579,"coef","int"
"3",75.0031280790525,-1.07937521662014,-0.364793866343508,-2.06458008606144,-0.324014669033199,2.20038552469246,0.271263030097408,-0.536829554112428,0.629325808123519,"coef","int"
"4",74.6792358155906,-0.954460452063407,0.0305564913807492,-1.71221190669735,-0.413997134867855,2.19833726587795,0.187049798782922,-0.512461963202066,0.65778202110194,"coef","int"
"5",74.9369262224908,-1.0798795828527,-0.808912005167691,-1.74818165026621,-0.344434118289457,2.16790704178912,0.194252275546386,-0.439320274839404,0.635869617732685,"coef","int"
"6",0.37249271768019,0.0843199940737934,0.650795900389163,0.305389507671468,0.145418149249502,0.0267078776187885,0.0422473952601778,0.0768443703884678,0.0204467199499414,"se","int"
"7",0.388574239882335,0.0881502040232118,0.664812203988626,0.313476767881076,0.151670705924275,0.0263254404654684,0.0422026012985709,0.0728779040197537,0.0204779123850606,"se","int"
"8",0.350995605871864,0.081906383645768,0.676097829166011,0.294526342050031,0.157158055845981,0.025740927536207,0.0408038409964297,0.072697842082983,0.0199626478927745,"se","int"
"9",0.366093723523008,0.0814392825736198,0.647983989697722,0.290380529512041,0.143799067179861,0.0266158474825816,0.0436236762627072,0.0758366874916743,0.0204262078509243,"se","int"
"10",0.330711796278142,0.0775269445811264,0.638340359209296,0.270371484594047,0.147177510928082,0.0253476673403216,0.0421853196752401,0.0720695424609522,0.0199215868385222,"se","int"
"11",0.379891167303831,0.0847941358539033,0.646837800701086,0.304767692690649,0.145117800073263,0.0272368160987826,0.0414042752546404,0.0758673550431252,0.0211087500829246,"rob_se","int"
"12",0.381173422894495,0.0839491981095213,0.671207086530159,0.295660984270928,0.158666913669948,0.0259775849374416,0.0444501968627535,0.0720867277352554,0.0215237790145966,"rob_se","int"
"13",0.351742967635808,0.0858588276615295,0.641423940543873,0.289446032483763,0.141476380771347,0.0255278538333094,0.038609635911608,0.0730429688120283,0.020053545955331,"rob_se","int"
"14",0.368085157456442,0.0829840652706403,0.663222571701575,0.2862291812122,0.140655090686886,0.0275070355100177,0.0421971637104834,0.0686067180555633,0.0215914994434027,"rob_se","int"
"15",0.325626599217647,0.081073569630997,0.632895519533722,0.275138404017533,0.133930573995041,0.0243747362673072,0.0408378391871623,0.0690362200390975,0.0176752266309525,"rob_se","int"
"16",74.3538221552126,-1.03820274018657,0.504555320999906,-1.95550418427826,-0.445513117840555,2.20513129658125,0.190179791379393,-0.578882658322946,0.622035168058779,"coef","slp"
"17",74.5086893083756,-1.08103198321158,-0.337949369014303,-1.99182817097629,-0.425168158505542,2.2273439811674,0.226137205251342,-0.541835212512917,0.63610089635094,"coef","slp"
"18",74.9709362711966,-1.09191591349075,0.459603493506185,-2.42430570807839,-0.319397342930595,2.21407263281156,0.189297441597542,-0.580734460403319,0.644450091868168,"coef","slp"
"19",74.7415997277361,-1.00009713517674,-0.439281895475314,-2.02303503787492,-0.302514000027744,2.20617780519853,0.186355962490887,-0.375548094586078,0.639215668871322,"coef","slp"
"20",75.153822772569,-1.04360275842618,-0.931238598382081,-2.16054657755146,-0.512946329235711,2.16771464387132,0.184260002501592,-0.395720825571025,0.590002249987124,"coef","slp"
"21",0.547052994952199,0.0510490946296439,1.03555418465751,0.455611739324843,0.0978998120341739,0.0344386485218535,0.0328987662295272,0.0745829232843188,0.0208014014609609,"se","slp"
"22",0.556877330089158,0.0532620617605267,0.975625338596225,0.456710672674511,0.0957906814774288,0.0339476058211527,0.0319886998979297,0.0730639235769487,0.0202636690430797,"se","slp"
"23",0.554263537998703,0.051873812181468,0.989377369185472,0.438580016091671,0.093790722931858,0.0343407057096967,0.0333422355528829,0.074179152035932,0.0206567384321885,"se","slp"
"24",0.544819671075799,0.0499462400121208,0.979676901680835,0.434554102211683,0.0903922184368326,0.0342512609826415,0.031486139749874,0.0707261638832738,0.0198334237555841,"se","slp"
"25",0.518952329321766,0.0489966106631191,0.986303375641377,0.411828009551385,0.0940518833602364,0.0342989496896732,0.0308826888914399,0.070897238098181,0.0201966444448254,"se","slp"
"26",0.582710272138073,0.051330108524646,0.998653245116531,0.44298995504618,0.0968904468371904,0.0345042025353537,0.0305225944618432,0.0698734952986102,0.0201013271395565,"rob_se","slp"
"27",0.556402876175769,0.0523522711255296,0.985664080143642,0.451247116443832,0.0977007709274939,0.0329614077110342,0.0337707233027018,0.0766199312229014,0.0212505601937895,"rob_se","slp"
"28",0.563764913455246,0.0518058529955696,0.924723024689561,0.427293711155227,0.0941845247618312,0.0341160706466611,0.0313177741075211,0.073247382709128,0.0209244039235987,"rob_se","slp"
"29",0.559844660364166,0.050744657263305,0.921196995765779,0.423058065450575,0.0889413191399021,0.0361290871021853,0.03036086808003,0.0653620911894734,0.0208747460291465,"rob_se","slp"
"30",0.524766388013602,0.0489011399511025,0.951095902408108,0.394268939486065,0.0937849153999623,0.0330057472618737,0.0303177742135803,0.0701286432081451,0.0199982433642948,"rob_se","slp"
