file,status,max_abs_diff,n_diff,detail
mi_sim_biv_a_acml_100046.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100047.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100048.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100049.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100050.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100051.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100052.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100053.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100054.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100055.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100056.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100057.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100058.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100059.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100060.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100061.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100062.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100063.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100064.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100065.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100066.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100067.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100068.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100069.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100070.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100071.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100072.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100073.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100074.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100075.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100076.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100077.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100078.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100079.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100080.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100081.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100082.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100083.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100084.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100085.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100086.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100087.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100088.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100089.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100090.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100091.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100092.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100093.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100094.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100095.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100096.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100097.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100098.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100099.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100100.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100101.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100102.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100103.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100104.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100105.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100106.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100108.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100109.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100110.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100111.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100112.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100113.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100114.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100115.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100116.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100117.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100118.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100119.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100120.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100121.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100122.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100123.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100124.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100125.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100126.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100127.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100128.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100129.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100130.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100131.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100132.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100133.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100134.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100135.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100136.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100137.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100138.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100139.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100140.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100141.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100142.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100143.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100144.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100145.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100146.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100147.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100148.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100149.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100150.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100152.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100153.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100154.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100155.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100156.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100157.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100160.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100161.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100162.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100163.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100164.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100165.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100166.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100167.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100168.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100169.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100170.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100171.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100172.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100173.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100176.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100177.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100178.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100181.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100182.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100183.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100184.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100185.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100186.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100189.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100190.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100191.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100192.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100193.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100194.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100195.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100196.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100197.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100198.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100199.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100200.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100201.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100202.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100203.csv,only_in_old_folder,NA,NA,NA
